,count,unique,top,freq,mean,std,min,25%,50%,75%,max,missing,DataType
total_bal_il,21372.0,,,,36552.811388732924,43103.833619194746,0.0,10251.5,24684.5,47858.0,878459.0,866007,float64
il_util,18617.0,,,,71.53531718321945,23.022861656172925,0.0,58.6,74.9,87.6,223.3,868762,float64
open_rv_12m,21372.0,,,,1.389060452929066,1.520129349788022,0.0,0.0,1.0,2.0,22.0,866007,float64
open_rv_24m,21372.0,,,,2.9754819389855887,2.631885987606844,0.0,1.0,2.0,4.0,43.0,866007,float64
max_bal_bc,21372.0,,,,5887.979739846528,5284.701239120275,0.0,2411.0,4483.0,7771.5,127305.0,866007,float64
all_util,21372.0,,,,60.83193898558846,20.013253573158046,0.0,47.7,61.9,75.2,151.4,866007,float64
total_rev_hi_lim,817103.0,,,,32068.620045453266,37498.25832582051,0.0,13900.0,23700.0,39800.0,9999999.0,70276,float64
inq_fi,21372.0,,,,0.9439453490548381,1.446871523647016,0.0,0.0,0.0,1.0,17.0,866007,float64
total_cu_tl,21372.0,,,,1.5370578326782707,2.723339165544415,0.0,0.0,0.0,2.0,35.0,866007,float64
inq_last_12m,21372.0,,,,1.9773067565038367,2.874066620418349,-4.0,0.0,2.0,3.0,32.0,866007,float64
