,count,mean,std,min,25%,50%,75%,max,missing,DataType
u_q,1330816.0,54.279004546512766,44.17323356184978,-25.290929794311523,12.069924831390383,48.938180923461914,90.03439290099016,133.0369935103849,0,float64
coolant,1330816.0,36.22999484012421,21.78614897343332,10.623751273643387,18.69813537597656,26.90014082914239,49.857486923515886,101.59851208096164,0,float64
stator_winding,1330816.0,66.3427453949802,28.672060878739067,18.5858154296875,42.787956907960954,65.11012887949082,88.14113714379147,141.36288452148438,0,float64
u_d,1330816.0,-25.13380939258607,63.091971600952846,-131.53041076660156,-78.69090406457892,-7.429754544163284,1.4702705442905426,131.46978759765625,0,float64
stator_tooth,1330816.0,56.87858199679993,22.952233065761572,18.133975982666016,38.41601181030274,56.036345494262854,75.58668178953778,111.94642341392526,0,float64
motor_speed,1330816.0,2202.0807277890044,1859.66335039695,-275.54914411131955,317.1106647331166,1999.9766845703125,3760.6390583028074,6000.01513671875,0,float64
i_d,1330816.0,-68.71680961864878,64.93323319205659,-278.0036315917969,-115.40605996337631,-51.09376297213717,-2.979688167572021,0.0518967024981975,0,float64
i_q,1330816.0,37.412782347496574,92.1818796502891,-293.426792941564,1.0958628470303227,15.774006843566896,100.6121495121055,301.7078552246094,0,float64
pm,1330816.0,58.50677585061459,19.001497713976157,20.856956481933597,43.15158201322102,60.26628701504853,72.00837107800413,113.60662841796876,0,float64
stator_yoke,1330816.0,48.1879648648999,19.99100399831366,18.07668876647949,31.99033308029175,45.62550924113822,61.460827633781825,101.14796436478986,0,float64
ambient,1330816.0,24.565255952092492,1.9295218592246726,8.78347834400473,23.18480443954468,24.79732676998298,26.217019039334527,30.714204788208008,0,float64
torque,1330816.0,31.1060323797327,77.13575481120294,-246.46666318909087,-0.1374265290796756,10.860353946685791,91.59717576635957,261.0057067871094,0,float64
profile_id,1330816.0,40.793061550206794,25.04549367747542,2.0,17.0,43.0,65.0,81.0,0,int64
